Shopify Shop Name,Shopify Order Name,Product Name,Color,Size,Status Name,Status Updatedat Date,Shipping Tracking
3k-outfit,#232101,Gildan Ultra Cotton T-Shirt,dark heather,xxxxl,blank-item,2021-11-19,
3k-outfit,#231792,Gildan Sweatshirt - Crew,navy,sml,marshal-qc,2021-11-17,
3k-outfit,#232126,Next Level Fitted Crew,black,med,single-qc,2021-11-19,
3k-outfit,#232234,Gildan Ultra Cotton T-Shirt,black,xxl,single-qc,2021-11-19,
3k-outfit,#232024,Canvas Unisex T-Shirt,heather forest,sml,sort-gaylords,2021-11-18,
3k-outfit,#232314,Gildan Ultra Ladies T-Shirt,black,xlg,tracked-truckline,2021-11-19,
3k-outfit,#232247,Gildan Ultra Cotton T-Shirt,navy,sml,shipped,2021-11-19,9400136895232600886547
3k-outfit,#232332,Canvas Youth T-Shirt,athletic heather,lrg,ordered-ups,2021-11-18,
3k-outfit,#232105,Gildan Sweatshirt - Crew,forest green,sml,blank-item,2021-11-17,
3k-outfit,#232205,Canvas Unisex T-Shirt,heather navy,xlg,shipped,2021-11-19,9400136895232600978013
3k-outfit,#232166,Gildan Sweatshirt - Crew,forest green,sml,blank-item,2021-11-17,
3k-outfit,#232256,Canvas Unisex T-Shirt,dark grey heather,med,single-qc,2021-11-19,9400136895232602982988
3k-outfit,#232276,Gildan Sweatshirt - Crew,navy,med,shipped,2021-11-19,92748999963309000240526318
3k-outfit,#231949,Jerzees Sweatshirt - Crew,forest green,med,created-truckline,2021-11-19,
3k-outfit,#232321,Canvas Unisex T-Shirt,black heather,sml,tracked-truckline,2021-11-18,
3k-outfit,#232126,Next Level Fitted Crew,black,xxl,single-qc,2021-11-18,
3k-outfit,#231740,Jerzees Sweatshirt - Crew,forest green,med,tracked-ups,2021-11-17,
3k-outfit,#231193,Canvas Unisex T-Shirt,heather navy,sml,single-qc,2021-11-19,
3k-outfit,#232220,Gildan Ultra Ladies T-Shirt,black,xlg,shipped,2021-11-19,9400136895232600861384
3k-outfit,#232278,Hanes Ultimate Cotton Fleece Crew,navy,xlg,tracked-ups,2021-11-19,
3k-outfit,#231734,Gildan 50/50 Hoodie,black,xxxl,pretreated,2021-11-19,
3k-outfit,#232296,Gildan 50/50 Hoodie,maroon,sml,tracked-truckline,2021-11-19,
3k-outfit,#231793,Gildan Youth Ultra Cotton T,white,lrg,printed,2021-11-19,9400136895232601053917
3k-outfit,#232252,Canvas Unisex T-Shirt,heather olive,lrg,tracked-ups,2021-11-19,
3k-outfit,#232284,Beverage Mug,black,15oz,shipped,2021-11-19,92612999963309000240565496
3k-outfit,#232238,Beverage Mug,white,15oz,shipped,2021-11-19,92612999963309000240560002
3k-outfit,#232113,Gildan Sweatshirt - Crew,ht sp drk maroon,lrg,carted,2021-11-19,
3k-outfit,#231965,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#232137,Canvas Unisex T-Shirt,black,sml,shipped,2021-11-19,92748999963309000240530285
3k-outfit,#232249,Canvas Unisex T-Shirt,heather navy,lrg,shipped,2021-11-19,92748999963309000240546439
3k-outfit,#232228,Gildan Ultra Cotton T-Shirt,heather navy,sml,shipped,2021-11-19,9400136895232600996291
3k-outfit,#232331,Gildan Ultra Ladies T-Shirt,navy,xxl,tracked-truckline,2021-11-19,
3k-outfit,#232324,Gildan Ultra Ladies T-Shirt,dark heather,med,tracked-truckline,2021-11-18,
3k-outfit,#232174,Beverage Mug,white,15oz,printed,2021-11-17,
3k-outfit,#232203,Gildan Ultra Cotton T-Shirt,heather navy,xlg,shipped,2021-11-19,9400136895232600875695
3k-outfit,#232285,Beverage Mug,white,15oz,shipped,2021-11-19,92612999963309000240545061
3k-outfit,#232024,Canvas Unisex T-Shirt,heather forest,xlg,pretreated,2021-11-19,
3k-outfit,#232123,Next Level Fitted Crew,black,xxl,single-qc,2021-11-18,
3k-outfit,#232206,Gildan Ultra Ladies T-Shirt,black,sml,shipped,2021-11-19,GM275323486240531748
3k-outfit,#232171,Gildan Sweatshirt - Crew,forest green,sml,blank-item,2021-11-17,
3k-outfit,#231947,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#232237,Canvas Unisex T-Shirt,heather navy,xlg,shipped,2021-11-19,9400136895232600886660
3k-outfit,#231794,Gildan Youth Sweatshirt,black,med,blank-item,2021-11-18,
3k-outfit,#232225,Next Level Fitted Crew,heather grey,med,tracked-truckline,2021-11-18,
3k-outfit,#232245,Canvas V-Neck T-Shirt,red,lrg,tracked-ups,2021-11-19,
3k-outfit,#232024,Canvas Unisex T-Shirt,forest green,lrg,pretreated,2021-11-19,
3k-outfit,#232057,Gildan Sweatshirt - Crew,black,xxl,tracked-ups,2021-11-18,
3k-outfit,#232098,Gildan Sweatshirt - Crew,navy,xxl,shipped,2021-11-19,92612999963309000240513848
3k-outfit,#232225,Next Level Fitted Crew,heather grey,lrg,single-qc,2021-11-19,
3k-outfit,#232125,Gildan Softstyle T-Shirt,heather navy,lrg,tracked-ups,2021-11-18,
3k-outfit,#232300,Gildan Long Sleeve T-Shirt,navy,med,tracked-truckline,2021-11-19,
3k-outfit,#231962,Gildan Sweatshirt - Crew,maroon,xlg,blank-item,2021-11-19,
3k-outfit,#232168,Hanes Ultimate Cotton Fleece Crew,navy,lrg,blank-item,2021-11-19,
3k-outfit,#231955,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#232234,Gildan Ultra Cotton T-Shirt,black,xlg,single-qc,2021-11-19,
3k-outfit,#232108,Gildan Sweatshirt - Crew,maroon,med,shipped,2021-11-19,92748999963309000240520842
3k-outfit,#232245,Jerzees Sweatshirt - Crew,forest green,lrg,blank-item,2021-11-18,
3k-outfit,#232330,Gildan Ultra Ladies T-Shirt,black,sml,tracked-truckline,2021-11-19,
3k-outfit,#231974,Gildan Sweatshirt - Crew,maroon,xlg,blank-item,2021-11-19,
3k-outfit,#232253,Gildan Sweatshirt - Crew,black,lrg,ordered-ups,2021-11-18,
3k-outfit,#231875,Canvas Unisex T-Shirt,heather mauve,med,ordered-ups,2021-11-19,
3k-outfit,#231792,Gildan Sweatshirt - Crew,maroon,xlg,tracked-ups,2021-11-18,
3k-outfit,#232331,Gildan Ladies Missy T-Shirt,dark heather,xxl,tracked-truckline,2021-11-19,
3k-outfit,#232310,Gildan Long Sleeve T-Shirt,sports grey,xlg,tracked-truckline,2021-11-19,
3k-outfit,#231686,Gildan Sweatshirt - Crew,forest green,xxxl,marshal-qc,2021-11-16,
3k-outfit,#231972,Hanes Ultimate Cotton Fleece Crew,navy,lrg,shipped,2021-11-19,92612999963309000240557279
3k-outfit,#232050,Gildan Youth Hoodie,black,med,blank-item,2021-11-16,
3k-outfit,#231633,Gildan Youth Sweatshirt,maroon,xsml,shipped,2021-11-19,92612999963309000240550348
3k-outfit,#232245,Canvas V-Neck T-Shirt,black,xlg,sort-gaylords,2021-11-19,
3k-outfit,#231188,Canvas Unisex T-Shirt,dark grey heather,lrg,single-qc,2021-11-19,9400136895232602838131
3k-outfit,#231966,Hanes Ultimate Cotton Fleece Crew,navy,lrg,shipped,2021-11-19,92612999963309000240557026
3k-outfit,#232299,Beverage Mug,black,11oz,ripped,2021-11-18,
3k-outfit,#232317,Gildan Sweatshirt - Crew,black,xxl,ordered-ups,2021-11-18,
3k-outfit,#232122,Gildan Sweatshirt - Crew,white,sml,tracked-truckline,2021-11-19,
3k-outfit,#232275,Gildan Ultra Cotton T-Shirt,black,sml,printed,2021-11-19,9400136895232600836900
3k-outfit,#231813,Gildan Sweatshirt - Crew,maroon,lrg,shipped,2021-11-19,92612999963309000240542237
3k-outfit,#232273,Gildan Ultra Cotton T-Shirt,dark chocolate,xlg,ordered-ups,2021-11-18,
3k-outfit,#232242,Canvas Unisex T-Shirt,black,xxxxl,sort-gaylords,2021-11-19,
3k-outfit,#232251,Hanes Ultimate Cotton Fleece Crew,navy,xlg,tracked-ups,2021-11-19,
3k-outfit,#232229,Canvas Unisex T-Shirt,heather navy,lrg,printed,2021-11-19,
3k-outfit,#231746,Hanes Ultimate Cotton Fleece Crew,navy,lrg,carted,2021-11-18,
3k-outfit,#232252,Canvas Unisex T-Shirt,heather olive,lrg,carted,2021-11-19,
3k-outfit,#232026,Canvas Unisex T-Shirt,forest green,lrg,pretreated,2021-11-19,
3k-outfit,#231882,Canvas Unisex T-Shirt,heather mauve,med,ordered-ups,2021-11-19,
3k-outfit,#232193,Canvas Unisex T-Shirt,black heather,lrg,single-qc,2021-11-19,9400136895232601465499
3k-outfit,#232230,Canvas Unisex T-Shirt,dark grey heather,med,shipped,2021-11-19,92748999963309000240541304
3k-outfit,#232283,Beverage Mug,black,15oz,shipped,2021-11-19,92612999963309000240555022
3k-outfit,#231854,Canvas Unisex T-Shirt,black,lrg,printed,2021-11-16,
3k-outfit,#232277,Gildan Sweatshirt - Crew,white,lrg,shipped,2021-11-19,92748999963309000240564082
3k-outfit,#232280,Gildan Sweatshirt - Crew,black,sml,shipped,2021-11-19,92748999963309000240550214
3k-outfit,#232126,Next Level Fitted Crew,black,sml,single-qc,2021-11-19,
3k-outfit,#232139,Gildan Sweatshirt - Crew,graphite heather,xlg,ordered-ups,2021-11-19,
3k-outfit,#232016,Canvas Unisex T-Shirt,forest green,lrg,pretreated,2021-11-19,
3k-outfit,#232201,Canvas Unisex T-Shirt,navy,xlg,single-qc,2021-11-18,
3k-outfit,#231806,Gildan Sweatshirt - Crew,maroon,xlg,marshal-qc,2021-11-18,
3k-outfit,#231193,Canvas Unisex T-Shirt,heather navy,sml,sort-gaylords,2021-11-10,
3k-outfit,#232252,Canvas Unisex T-Shirt,heather olive,xlg,carted,2021-11-19,
3k-outfit,#232300,Gildan Long Sleeve T-Shirt,forest green,med,tracked-truckline,2021-11-19,
3k-outfit,#232246,Canvas Unisex T-Shirt,heather navy,sml,shipped,2021-11-19,9400136895232600813604
3k-outfit,#232201,Canvas Unisex T-Shirt,black,lrg,single-qc,2021-11-18,
3k-outfit,#231958,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#232058,Hanes Ultimate Cotton Fleece Crew,navy,xlg,shipped,2021-11-19,92612999963309000240579202
3k-outfit,#231806,Gildan Sweatshirt - Crew,maroon,med,marshal-qc,2021-11-18,
3k-outfit,#232242,Canvas Unisex T-Shirt,heather mauve,xlg,carted,2021-11-19,
3k-outfit,#232122,Gildan Sweatshirt - Crew,white,sml,blank-item,2021-11-17,
3k-outfit,#232233,Gildan Ladies Missy T-Shirt,maroon,med,ordered-ups,2021-11-18,
3k-outfit,#231812,Gildan Sweatshirt - Crew,maroon,lrg,shipped,2021-11-19,92612999963309000240542268
3k-outfit,#232279,Gildan Sweatshirt - Crew,black,med,shipped,2021-11-19,92748999963309000240548693
3k-outfit,#232226,Next Level Fitted Crew,midnight navy,xxxl,shipped,2021-11-19,92748999963309000240539547
3k-outfit,#232298,Gildan Long Sleeve T-Shirt,navy,xlg,tracked-truckline,2021-11-19,
3k-outfit,#232137,Canvas Unisex T-Shirt,black,med,shipped,2021-11-19,92748999963309000240530285
3k-outfit,#231633,Hanes Ultimate Cotton Fleece Crew,deep forest,lrg,shipped,2021-11-19,92612999963309000240550348
3k-outfit,#232044,Gildan 50/50 Hoodie,dark chocolate,xxxxxl,single-qc,2021-11-19,92612999963309000240513893
3k-outfit,#232109,Gildan 50/50 Hoodie,sand,xxl,marshal-qc,2021-11-19,
3k-outfit,#232146,Canvas Unisex T-Shirt,heather navy,lrg,shipped,2021-11-19,9400136895232600861575
3k-outfit,#232281,Gildan 50/50 Hoodie,forest green,med,shipped,2021-11-19,92612999963309000240539770
3k-outfit,#231686,Gildan Ultra Cotton T-Shirt,black,xxl,single-qc,2021-11-19,
3k-outfit,#232252,Canvas Unisex T-Shirt,heather olive,xxl,carted,2021-11-19,
3k-outfit,#232032,Gildan Sweatshirt - Crew,navy,sml,single-qc,2021-11-19,92748999963309000240513912
3k-outfit,#231806,Gildan Sweatshirt - Crew,maroon,lrg,marshal-qc,2021-11-19,
3k-outfit,#232126,Gildan Ladies Missy T-Shirt,black,sml,single-qc,2021-11-18,
3k-outfit,#232148,Canvas V-Neck T-Shirt,heather navy,xlg,tracked-truckline,2021-11-19,
3k-outfit,#232290,Gildan Sweatshirt - Crew,black,sml,tracked-truckline,2021-11-19,
3k-outfit,#231797,Gildan Youth Sweatshirt,forest green,med,marshal-qc,2021-11-19,
3k-outfit,#232236,Gildan Long Sleeve T-Shirt,sports grey,lrg,single-qc,2021-11-19,9400136895232601339004
3k-outfit,#231807,Gildan Ladies Missy T-Shirt,maroon,xlg,blank-item,2021-11-19,
3k-outfit,#232200,Canvas V-Neck T-Shirt,heather navy,xxl,shipped,2021-11-19,9400136895232600861308
3k-outfit,#232177,Beverage Mug,white,15oz,shipped,2021-11-19,92612999963309000240580840
3k-outfit,#232120,Gildan Sweatshirt - Crew,ht sp drk maroon,lrg,carted,2021-11-19,
3k-outfit,#232109,Gildan 50/50 Hoodie,forest green,xxl,marshal-qc,2021-11-19,
3k-outfit,#232212,Gildan Ultra Ladies T-Shirt,black,xlg,shipped,2021-11-19,9400136895232600861391
3k-outfit,#232293,Beverage Mug,white,15oz,shipped,2021-11-19,92612999963309000240545450
3k-outfit,#231874,Canvas Unisex T-Shirt,heather navy,xxl,tracked-ups,2021-11-18,
3k-outfit,#232303,Gildan Sweatshirt - Crew,maroon,lrg,tracked-truckline,2021-11-18,
3k-outfit,#231957,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#231806,Gildan Sweatshirt - Crew,maroon,xlg,tracked-ups,2021-11-18,
3k-outfit,#232123,Gildan Ladies Missy T-Shirt,black,xxl,single-qc,2021-11-18,
3k-outfit,#231942,Hanes Ultimate Cotton Fleece Crew,navy,lrg,shipped,2021-11-19,92612999963309000240552588
3k-outfit,#232322,Canvas Unisex T-Shirt,navy,xxl,tracked-ups,2021-11-19,
3k-outfit,#231943,Gildan Sweatshirt - Crew,forest green,med,blank-item,2021-11-19,
3k-outfit,#232138,Canvas Unisex T-Shirt,heather forest,xlg,tracked-ups,2021-11-18,
3k-outfit,#232201,Canvas Unisex T-Shirt,black,xxl,single-qc,2021-11-18,
3k-outfit,#231806,Gildan Sweatshirt - Crew,maroon,med,blank-item,2021-11-19,
3k-outfit,#232252,Canvas Unisex T-Shirt,heather olive,xxl,tracked-ups,2021-11-19,
3k-outfit,#232329,Canvas Unisex T-Shirt,heather navy,xxxxl,tracked-truckline,2021-11-18,
3k-outfit,#232119,Beverage Mug,black,15oz,shipped,2021-11-19,
41-area-larsoc,#3904,Next Level Fitted Crew,black,lrg,tracked-truckline,2021-11-19,
41-area-larsoc,#3912,Jerzees 50/50 Hoodie,athletic heather,sml,carted,2021-11-19,
41-area-larsoc,#3912,Gildan Softstyle T-Shirt,dark chocolate,med,marshal-bins,2021-11-19,
41-area-larsoc,#3912,Jerzees 50/50 Hoodie,black heather,med,carted,2021-11-19,
41-area-larsoc,#3912,Jerzees 50/50 Hoodie,black,lrg,carted,2021-11-19,
41-area-larsoc,#3912,Jerzees 50/50 Hoodie,athletic heather,sml,printed,2021-11-19,
41-area-larsoc,#3923,Jerzees Sweatshirt - Crew,black,med,printed,2021-11-19,92748999963309000240531664
